_u1.date,_u1.ticker,_u1.cik,_u1.open,_u1.high,_u1.low,_u1.close,_u1.adj_close,_u1.volume
2018-01-25,YUM,0001041061,85.31999969482422,85.81999969482422,84.62000274658203,85.66000366210938,76.56209564208984,929800
2018-01-26,YUM,0001041061,85.68000030517578,86.23999786376953,85.20999908447266,86.19999694824219,77.04471588134766,1332600
2018-01-29,YUM,0001041061,86.08999633789062,86.93000030517578,85.93000030517578,86.4800033569336,77.29499053955078,2303300
2018-01-30,YUM,0001041061,85.0,85.4800033569336,84.37000274658203,84.58999633789062,75.60572052001953,1779600
2018-01-31,YUM,0001041061,84.62000274658203,85.05000305175781,84.25,84.58999633789062,75.60572052001953,2132100
2018-02-01,YUM,0001041061,84.23999786376953,84.47000122070312,83.44999694824219,83.9800033569336,75.06049346923828,1685300
2018-02-02,YUM,0001041061,83.9000015258789,84.58999633789062,82.44000244140625,82.62999725341797,73.85388946533203,3161400
2018-02-05,YUM,0001041061,82.06999969482422,82.94999694824219,79.48999786376953,79.80000305175781,71.32447814941406,2870300
2018-02-06,YUM,0001041061,78.3499984741211,80.83000183105469,76.3499984741211,80.58000183105469,72.02162170410156,3050100
2018-02-07,YUM,0001041061,80.06999969482422,81.94000244140625,80.0,80.12999725341797,71.61942291259766,3561100
2018-02-08,YUM,0001041061,78.01000213623047,81.11000061035156,75.87999725341797,76.30000305175781,68.19621276855469,4632800
2018-02-09,YUM,0001041061,77.29000091552734,80.08999633789062,76.43000030517578,79.30999755859375,70.88650512695312,5100400
2018-02-12,YUM,0001041061,79.25,80.3499984741211,77.41999816894531,78.06999969482422,69.77820587158203,3023800
2018-02-13,YUM,0001041061,77.44000244140625,77.97000122070312,77.12999725341797,77.7699966430664,69.83209228515625,1512700
2018-02-14,YUM,0001041061,77.13999938964844,78.68000030517578,76.31999969482422,77.87999725341797,69.93086242675781,3108000
2018-02-15,YUM,0001041061,78.23999786376953,79.29000091552734,77.88999938964844,78.97000122070312,70.90959930419922,2901900
2018-02-16,YUM,0001041061,78.73999786376953,79.0,78.22000122070312,78.25,70.26310729980469,2688300
2018-02-20,YUM,0001041061,78.06999969482422,78.73999786376953,77.37000274658203,78.08000183105469,70.11043548583984,2553700
2018-02-21,YUM,0001041061,77.9000015258789,79.08999633789062,77.80000305175781,77.80999755859375,69.86798095703125,2209900
2018-02-22,YUM,0001041061,77.9000015258789,78.83000183105469,77.9000015258789,78.31999969482422,70.32595825195312,1881100
2018-02-23,YUM,0001041061,78.66000366210938,79.8499984741211,78.55999755859375,79.80000305175781,71.65487670898438,2329600
2018-02-26,YUM,0001041061,80.0199966430664,80.77999877929688,79.91000366210938,80.56999969482422,72.34628295898438,1790000
2018-02-27,YUM,0001041061,80.5999984741211,81.01000213623047,80.18000030517578,80.18000030517578,71.99610900878906,2315800
2018-02-28,YUM,0001041061,80.69999694824219,82.69000244140625,80.62000274658203,81.37999725341797,73.07360076904297,3629400
2018-03-01,YUM,0001041061,80.9800033569336,81.72000122070312,79.23999786376953,79.69999694824219,71.5650863647461,2674000
2018-03-02,YUM,0001041061,78.62999725341797,80.7300033569336,78.0999984741211,80.29000091552734,72.09487915039062,2776700
2018-03-05,YUM,0001041061,79.94999694824219,80.86000061035156,79.72000122070312,80.62999725341797,72.40018463134766,1896100
2018-03-06,YUM,0001041061,81.08999633789062,81.63999938964844,80.6500015258789,81.37999725341797,73.07360076904297,1968700
2018-03-07,YUM,0001041061,80.72000122070312,81.55999755859375,80.44000244140625,81.41000366210938,73.10054779052734,1855800
2018-03-08,YUM,0001041061,81.70999908447266,82.54000091552734,81.62999725341797,82.41999816894531,74.0074691772461,2377400
2018-03-09,YUM,0001041061,82.58999633789062,83.27999877929688,82.26000213623047,82.94999694824219,74.48336791992188,1897700
2018-03-12,YUM,0001041061,83.29000091552734,83.93000030517578,82.30999755859375,82.41000366210938,73.99849700927734,2666800
2018-03-13,YUM,0001041061,82.83999633789062,83.22000122070312,82.12999725341797,82.3499984741211,73.94462585449219,1890400
2018-03-14,YUM,0001041061,82.48999786376953,82.7699966430664,82.08999633789062,82.2699966430664,73.8727798461914,1692500
2018-03-15,YUM,0001041061,82.37000274658203,83.9000015258789,82.18000030517578,82.87999725341797,74.42051696777344,2233700
2018-03-16,YUM,0001041061,82.91999816894531,83.80000305175781,82.81999969482422,83.5,74.97725677490234,2344100
2018-03-19,YUM,0001041061,83.27999877929688,83.45999908447266,81.4000015258789,82.13999938964844,73.75603485107422,2176400
2018-03-20,YUM,0001041061,82.5,83.47000122070312,82.19000244140625,83.08999633789062,74.60907745361328,1855500
2018-03-21,YUM,0001041061,83.13999938964844,83.5199966430664,82.69999694824219,82.80999755859375,74.35765075683594,1302600
2018-03-22,YUM,0001041061,82.08999633789062,83.37999725341797,82.08000183105469,82.18000030517578,73.79195404052734,1996300
2018-03-23,YUM,0001041061,82.41000366210938,82.95999908447266,81.68000030517578,81.68000030517578,73.34298706054688,2720600
2018-03-26,YUM,0001041061,82.58000183105469,84.22000122070312,82.55999755859375,84.02999877929688,75.45314025878906,2049900
2018-03-27,YUM,0001041061,84.23999786376953,85.44000244140625,83.51000213623047,83.87999725341797,75.31844329833984,3006200
2018-03-28,YUM,0001041061,83.95999908447266,85.13999938964844,83.95999908447266,84.25,75.65068817138672,2476400
2018-03-29,YUM,0001041061,84.72000122070312,85.66999816894531,84.05999755859375,85.12999725341797,76.44083404541016,1718900
2018-04-02,YUM,0001041061,85.22000122070312,85.81999969482422,82.88999938964844,83.73999786376953,75.19273376464844,2282900
2018-04-03,YUM,0001041061,83.75,84.33999633789062,82.9000015258789,84.11000061035156,75.52497863769531,2463400
2018-04-04,YUM,0001041061,83.44999694824219,85.55999755859375,83.31999969482422,85.41999816894531,76.70125579833984,2610400
2018-04-05,YUM,0001041061,85.94999694824219,86.3499984741211,85.08999633789062,86.01000213623047,77.23104095458984,1978500
2018-04-06,YUM,0001041061,85.44000244140625,85.98999786376953,83.93000030517578,84.45999908447266,75.83924102783203,1891600
2018-04-09,YUM,0001041061,84.8499984741211,85.41999816894531,84.3499984741211,84.44999694824219,75.83028411865234,1490100
2018-04-10,YUM,0001041061,85.61000061035156,85.87999725341797,85.0,85.58000183105469,76.84491729736328,2342900
2018-04-11,YUM,0001041061,85.5,86.1500015258789,85.33999633789062,85.44000244140625,76.71922302246094,1586500
2018-04-12,YUM,0001041061,85.87000274658203,86.66999816894531,85.6500015258789,85.75,76.99759674072266,1679000
2018-04-13,YUM,0001041061,86.05000305175781,86.2300033569336,85.05999755859375,85.41999816894531,76.70125579833984,1634000
2018-04-16,YUM,0001041061,86.11000061035156,86.80000305175781,85.94999694824219,86.26000213623047,77.45555877685547,1645000
2018-04-17,YUM,0001041061,86.5999984741211,87.05999755859375,86.30999755859375,86.5999984741211,77.76081085205078,1620800
2018-04-18,YUM,0001041061,86.66000366210938,87.44999694824219,86.66000366210938,86.98999786376953,78.11100006103516,1848400
2018-04-19,YUM,0001041061,86.6500015258789,86.91000366210938,85.9800033569336,86.44000244140625,77.61714172363281,1568400
2018-04-20,YUM,0001041061,86.29000091552734,86.80999755859375,86.05999755859375,86.29000091552734,77.48245239257812,1730500
2018-04-23,YUM,0001041061,86.43000030517578,86.58000183105469,85.69999694824219,85.88999938964844,77.12329864501953,1835600
2018-04-24,YUM,0001041061,86.23999786376953,86.73999786376953,84.7300033569336,85.18000030517578,76.48576354980469,1783300
2018-04-25,YUM,0001041061,85.23999786376953,85.58999633789062,84.70999908447266,85.26000213623047,76.5576171875,1648900
2018-04-26,YUM,0001041061,86.05000305175781,87.18000030517578,86.05000305175781,86.76000213623047,77.90449523925781,2899300
2018-04-27,YUM,0001041061,86.66000366210938,87.33999633789062,86.5199966430664,87.05000305175781,78.1648941040039,2225000
2018-04-30,YUM,0001041061,87.58000183105469,88.06999969482422,87.0999984741211,87.0999984741211,78.20979309082031,3487800
2018-05-01,YUM,0001041061,87.11000061035156,87.26000213623047,85.63999938964844,86.63999938964844,77.79674530029297,3391900
2018-05-02,YUM,0001041061,84.19999694824219,85.2699966430664,80.02999877929688,80.19999694824219,72.01405334472656,6576900
2018-05-03,YUM,0001041061,80.48999786376953,83.05000305175781,80.45999908447266,82.66999816894531,74.23194885253906,5644800
2018-05-04,YUM,0001041061,82.4000015258789,82.88999938964844,81.75,82.43000030517578,74.01647186279297,2136500
2018-05-07,YUM,0001041061,82.77999877929688,83.30000305175781,82.33000183105469,83.11000061035156,74.6270523071289,3366400
2018-05-08,YUM,0001041061,83.5,83.83999633789062,82.95999908447266,83.51000213623047,74.98623657226562,1641000
